,Unnamed: 0,AC_AREA,CLOUD_SCORE,COVERAGE_SCORE,Country,DATE,DGO_FID,ID_AOI_all,MEAN_AC_MNDWI,MEAN_AC_NDVI,MEAN_MNDWI,MEAN_NDVI,MEAN_VEGETATION_MNDWI,MEAN_VEGETATION_NDVI,MEAN_WATER_MNDWI,POI_ID,SCALE,VEGETATION_AREA,VEGETATION_PERIMETER,VEGETATION_POLYGONS,VEGETATION_POLYGONS_p0,VEGETATION_POLYGONS_p10,VEGETATION_POLYGONS_p100,VEGETATION_POLYGONS_p20,VEGETATION_POLYGONS_p30,VEGETATION_POLYGONS_p40,VEGETATION_POLYGONS_p50,VEGETATION_POLYGONS_p60,VEGETATION_POLYGONS_p70,VEGETATION_POLYGONS_p80,VEGETATION_POLYGONS_p90,WATER_AREA,WATER_PERIMETER,WATER_POLYGONS,WATER_POLYGONS_p0,WATER_POLYGONS_p10,WATER_POLYGONS_p100,WATER_POLYGONS_p20,WATER_POLYGONS_p30,WATER_POLYGONS_p40,WATER_POLYGONS_p50,WATER_POLYGONS_p60,WATER_POLYGONS_p70,WATER_POLYGONS_p80,WATER_POLYGONS_p90,length
975,975,2513.0,0.0,100.0,AMS,2020-03-29,CHL10,40AMS,-0.2398598348673391,0.1377406842404151,-0.4186552815912783,0.3909108748611724,-0.439377659247065,0.4179002023082411,-0.0618613981920727,CHL10,10,13970.0,13035.97266673062,2,6.0,6.0,13964.0,6.0,6.0,6.0,6985.0,13964.0,13964.0,13964.0,13964.0,39.0,387.6698351253236,3,1.0,1.0,26.0,1.0,1.0,12.0,12.0,12.0,26.0,26.0,26.0,2275
976,976,3130.0,0.0,100.0,AMS,2020-05-18,CHL10,40AMS,-0.2302880503207048,0.1339894455881795,-0.401890211772545,0.3677940085009731,-0.4281744596991397,0.3999818369054038,-0.0951261844903985,CHL10,10,13680.0,14011.289018709376,1,13680.0,13680.0,13680.0,13680.0,13680.0,13680.0,13680.0,13680.0,13680.0,13680.0,13680.0,291.0,1907.4706467437504,9,1.0,1.0,140.0,1.0,10.0,11.0,15.0,19.0,21.0,73.0,140.0,2275
977,977,2974.0,87.0,100.0,AMS,2020-07-02,CHL10,40AMS,0.0601947054691852,-0.0625669493041191,-0.2965696211669248,0.3891207955397016,-0.3710393031291614,0.4834269226192461,0.1502060810411116,CHL10,10,12902.0,14095.223759442884,2,4215.0,4215.0,8687.0,4215.0,4215.0,4215.0,6451.0,8687.0,8687.0,8687.0,8687.0,2028.0,7086.297536361206,5,1.0,1.0,1950.0,4.0,7.0,7.5,8.0,35.0,62.0,1006.0,1950.0,2275
978,978,2721.0,11.0,100.0,AMS,2020-08-16,CHL10,40AMS,-0.1455259513594447,0.1179146179788573,-0.3954595910669007,0.3941399459916146,-0.4331182488046762,0.4346995199009651,-0.0851405934026518,CHL10,10,13491.0,13106.151382207896,1,13491.0,13491.0,13491.0,13491.0,13491.0,13491.0,13491.0,13491.0,13491.0,13491.0,13491.0,621.0,4359.415145863632,13,1.0,3.0,165.0,6.0,8.0,15.0,17.0,49.0,88.0,89.0,106.0,2275
979,979,3421.0,0.0,100.0,AMS,2020-08-21,CHL10,40AMS,-0.1732306709813103,0.095090442794515,-0.4082451629514827,0.3912400898049024,-0.4597519449048692,0.4486708251361364,-0.0366991037091429,CHL10,10,13073.0,13923.132983915666,1,13073.0,13073.0,13073.0,13073.0,13073.0,13073.0,13073.0,13073.0,13073.0,13073.0,13073.0,707.0,4858.696707340736,13,1.0,1.0,195.0,3.0,8.0,16.0,37.0,53.0,78.0,111.0,119.0,2275
980,980,3393.0,0.0,100.0,AMS,2020-08-21,CHL10,40AMS,-0.1696207542216423,0.0934177785323859,-0.405969167583499,0.3911155368347369,-0.4578039368522745,0.4487332294232649,-0.0323412955361146,CHL10,10,13084.0,13962.691670517184,1,13084.0,13084.0,13084.0,13084.0,13084.0,13084.0,13084.0,13084.0,13084.0,13084.0,13084.0,758.0,5173.174460182503,15,1.0,1.0,177.0,3.5,8.0,16.5,20.0,42.5,92.0,102.0,130.0,2275
981,981,3938.0,79.0,100.0,AMS,2020-09-30,CHL10,40AMS,0.1428665200572225,0.0389251200517886,-0.1344880864892265,0.3669046897494724,-0.210960019164975,0.4580460471948563,0.1660446744521933,CHL10,10,12252.0,16359.01127530568,4,2.0,2.0,7957.0,2.0,7.0,7.0,2146.5,4286.0,4286.0,7957.0,7957.0,3808.0,10555.516638095412,5,1.0,1.0,3698.0,2.5,4.0,21.0,38.0,52.5,67.0,1882.5,3698.0,2275
982,982,2758.0,0.0,100.0,AMS,2020-10-10,CHL10,40AMS,-0.1846273239147256,0.1088587202682612,-0.4199756668136637,0.4249774383410487,-0.453331540889024,0.4683471621251003,-0.0660637248031593,CHL10,10,13612.0,13830.98870997362,2,22.0,22.0,13590.0,22.0,22.0,22.0,6806.0,13590.0,13590.0,13590.0,13590.0,333.0,2669.0974992309834,11,1.0,4.0,144.0,7.0,8.0,10.0,19.0,26.0,28.0,41.0,45.0,2275
983,983,3143.0,0.0,100.0,AMS,2020-10-15,CHL10,40AMS,-0.1870420713133291,0.1028319873347949,-0.4037452610308654,0.4101265969234938,-0.4426626721880645,0.4613048978916713,-0.0875100982031326,CHL10,10,13325.0,14208.285528297994,2,11.0,11.0,13314.0,11.0,11.0,11.0,6662.5,13314.0,13314.0,13314.0,13314.0,641.0,4426.289714344276,13,1.0,3.0,181.0,6.0,8.0,13.0,17.0,49.0,83.0,94.0,106.0,2275
984,984,2848.0,0.0,100.0,AMS,2020-10-20,CHL10,40AMS,-0.1630984883802681,0.100603642152173,-0.4040638049369852,0.4310514461516204,-0.4411137820341001,0.4785574983821621,-0.0131688437743478,CHL10,10,13565.0,14056.630888184847,2,20.0,20.0,13545.0,20.0,20.0,20.0,6782.5,13545.0,13545.0,13545.0,13545.0,497.0,3454.3164433239026,10,1.0,1.5,159.0,10.0,18.5,29.0,43.0,52.0,66.0,77.5,119.5,2275
